11:39:04 :Epoch 325/4000, Loss: 0.1329, Accuracy: 1.0000 
11:39:04 :Epoch 326/4000, Loss: 0.1315, Accuracy: 1.0000 
11:39:04 :Epoch 327/4000, Loss: 0.1301, Accuracy: 1.0000 
11:39:04 :Epoch 328/4000, Loss: 0.1275, Accuracy: 1.0000 
11:39:04 :Epoch 329/4000, Loss: 0.1267, Accuracy: 1.0000 
11:39:04 :Epoch 330/4000, Loss: 0.1253, Accuracy: 1.0000 
11:39:04 :Epoch 331/4000, Loss: 0.1237, Accuracy: 1.0000 
11:39:04 :Epoch 332/4000, Loss: 0.1221, Accuracy: 1.0000 
11:39:04 :Epoch 333/4000, Loss: 0.1204, Accuracy: 1.0000 
11:39:04 :Epoch 334/4000, Loss: 0.1188, Accuracy: 1.0000 
11:39:04 :Epoch 335/4000, Loss: 0.1180, Accuracy: 1.0000 
11:39:04 :Epoch 336/4000, Loss: 0.1161, Accuracy: 1.0000 
11:39:04 :Epoch 337/4000, Loss: 0.1140, Accuracy: 1.0000 
11:39:04 :Epoch 338/4000, Loss: 0.1137, Accuracy: 1.0000 
11:39:04 :Epoch 339/4000, Loss: 0.1124, Accuracy: 1.0000 
11:39:04 :Epoch 340/4000, Loss: 0.1102, Accuracy: 1.0000 
11:39:04 :Epoch 341/4000, Loss: 0.1093, Accuracy: 1.0000 
11:39:04 :Epoch 342/4000, Loss: 0.1082, Accuracy: 1.0000 
11:39:04 :Epoch 343/4000, Loss: 0.1065, Accuracy: 1.0000 
11:39:04 :Epoch 344/4000, Loss: 0.1053, Accuracy: 1.0000 
11:39:04 :Epoch 345/4000, Loss: 0.1037, Accuracy: 1.0000 
11:39:04 :Epoch 346/4000, Loss: 0.1034, Accuracy: 1.0000 
11:39:04 :Epoch 347/4000, Loss: 0.1014, Accuracy: 1.0000 
11:39:04 :Epoch 348/4000, Loss: 0.1005, Accuracy: 1.0000 
11:39:04 :Epoch 349/4000, Loss: 0.0989, Accuracy: 1.0000 
